# RA DEC
5.823671800000000331e+01 -5.679964900000000227e+01
5.826390399999999659e+01 -4.831599500000000091e+01
5.830583899999999886e+01 -5.320953099999999836e+01
5.838528699999999816e+01 -5.072779100000000341e+01
5.856122899999999731e+01 -5.907332300000000203e+01
5.865837899999999649e+01 -5.185885799999999790e+01
5.867201299999999975e+01 -4.098048500000000161e+01
5.867272100000000279e+01 -6.053802699999999959e+01
5.908545399999999859e+01 -5.363311300000000159e+01
5.936697399999999902e+01 -4.535017100000000312e+01
5.983619300000000152e+01 -5.231569300000000311e+01
6.057698599999999800e+01 -4.618914600000000092e+01
6.070653800000000189e+01 -6.150023500000000354e+01
6.094672899999999771e+01 -5.558376299999999759e+01
6.096808800000000161e+01 -5.732366900000000243e+01
6.105470700000000051e+01 -6.518204299999999307e+01
6.119777700000000209e+01 -4.430441400000000129e+01
6.128610700000000122e+01 -4.681112399999999951e+01
6.149173400000000100e+01 -4.927085499999999740e+01
6.167553900000000056e+01 -5.130525399999999792e+01
6.169060199999999838e+01 -5.492097600000000313e+01
6.172746300000000019e+01 -4.808656599999999770e+01
6.209182100000000304e+01 -4.493882200000000182e+01
6.251696199999999948e+01 -6.372754400000000174e+01
6.261484899999999953e+01 -5.490100600000000242e+01
6.281544000000000239e+01 -4.832175199999999649e+01
6.285974099999999964e+01 -6.368036599999999936e+01
6.302478800000000092e+01 -5.772013100000000208e+01
6.322974099999999709e+01 -5.110980500000000148e+01
6.392389500000000169e+01 -4.635616199999999765e+01
6.413800999999999419e+01 -4.963575600000000065e+01
6.416296099999999569e+01 -6.399643700000000024e+01
6.434505000000000052e+01 -4.781392100000000056e+01
6.440974400000000344e+01 -4.446404499999999871e+01
6.466929899999999520e+01 -4.588196800000000053e+01
6.500069399999999575e+01 -5.275119899999999973e+01
6.532063700000000495e+01 -4.876115500000000225e+01
6.559231099999999515e+01 -5.167546899999999965e+01
6.574903799999999876e+01 -4.614362100000000311e+01
6.593519999999999470e+01 -6.171765800000000013e+01
6.600445700000000215e+01 -4.411072000000000060e+01
6.651990299999999934e+01 -5.491967999999999961e+01
6.667639200000000699e+01 -5.427633099999999899e+01
6.703048300000000381e+01 -6.082918399999999792e+01
6.730730599999999697e+01 -4.393002400000000307e+01
6.743153599999999415e+01 -5.256094600000000128e+01
